,nome_fantasia,cnpj_basico,cnpj_ordem,cnpj_dv,cnae_princ,cnaes_sec,uf,municipio,porte,4661300,4683400,4530704,3314711,3314712,4619200
89825,,88502760,2,29,4661300,"4614100,4732600,3314711,3314712",RS,8825,Parceiros,1,0,0,1,1,0
89828,,88594544,7,65,4661300,"4530701,4530703,4530704,4681805,4732600,4530705,4520001",RS,8947,Parceiros,1,0,1,0,0,0
89989,,3233069,1,53,4661300,"4511101,4511102,4520001,4530703,4619200,4632001,4732600,4744001,6462000",SC,8199,Parceiros,1,0,0,0,0,1
90188,AGRIMAQ,79787909,1,91,4661300,3314711,PR,7771,Parceiros,1,0,0,1,0,0
90856,DHL,84944297,1,33,4661300,"4530703,4520001,4614100,7319002,7490104,4520002",PR,7777,Parceiros,1,0,0,0,0,0
91154,,88605506,1,75,4661300,"3314711,3314712,4614100",RS,8729,Parceiros,1,0,0,1,1,0
91305,,14594006,1,49,4661300,"4662100,4530703,4512901,4930202,7731400,7732201,3314711,4789099,3314712,4683400,4623106,4669999,4713004",RO,3,Parceiros,1,1,0,1,1,0
91557,,91359927,1,78,4661300,"0111399,3314711,4511103,4530703,4619200,4683400,4691500,4693100,4731800,4732600,4789099,6462000,6463800",SC,8339,Parceiros,1,1,0,1,0,1
94444,MS EQUIPAMENTOS,2667683,1,60,4661300,"3314712,4511101,7731400,4511104,4511106,4512901,4512902,4520001,4520002,4520003,4520004,4530701,4530703,4672900,4744001,7711000,7719599,7739099,4511103",MS,9051,Parceiros,1,0,0,0,1,0
94463,,91359927,3,30,4661300,,SC,8067,Parceiros,1,0,0,0,0,0
95608,,54718481,1,2,4661300,"3314712,3314711,7490104,4732600,4530705,4512901,4782201,4781400,4511102",SP,6179,Parceiros,1,0,0,1,1,0
95610,COPETRAL,15100902,1,77,4661300,"4520001,4530703,4612500,4614100",MT,8985,Parceiros,1,0,0,0,0,0
96142,PLANTA SUL INSUMOS AGRICOLAS,8882806,1,62,4683400,"3314711,4611700,4623106,4623109,4623199,4639701,4661300,4692300,4732600,4744001,4744005,4930202,4930203,7490103",RS,8905,Parceiros,1,1,0,1,0,0
